Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
16,버섯과 곰팡이를 맨눈이나 돋보기로 보았을 때 아랫부분은 어떤 모양인가요?,막대처럼 생겼다,공처럼 생겼다,나선처럼 생겼다,판처럼 생겼다,20,1
17,버섯과 곰팡이의 윗부분은 맨눈으로 볼 때 무엇처럼 생겼나요?,우산처럼 생겼다,막대처럼 생겼다,나선처럼 생겼다,공처럼 생겼다,20,1
18,균류는 무엇으로 이루어져 있나요?,균사,세포막,뿌리,줄기,20,1
19,균류는 무엇을 이용해 번식하나요?,포자,씨앗,알,포기나누기,20,1
20,균류가 잘 자라는 환경은 어디인가요?,따뜻하고 습한 곳,춥고 건조한 곳,햇빛이 강한 곳,물속,20,1
21,균류는 스스로 양분을 만들지 못하고 어디에서 양분을 얻나요?,죽은 생물이나 다른 생물,햇빛,물과 이산화탄소,흙 속 영양분만,25,1
22,해캄을 실체 현미경으로 관찰하면 초록색의 실처럼 가는 어떤 모양의 가닥이 보이나요?,나선,막대,공,점,20,1
23,해캄은 무엇처럼 마디로 나누어져 있나요?,대나무,나무줄기,거미줄,그물,20,1
24,"논, 연못이나 하천에 사는 원생생물이 아닌 것은?",곰팡이,짚신벌레,종벌레,유글레나,25,1
25,바다에 사는 원생생물로 알맞은 것은?,"미역, 다시마, 김","해캄, 짚신벌레","버섯, 곰팡이",세균,20,1
26,"해캄과 짚신벌레는 동물, 식물, 균류와 어떤 관계인가요?",다른 생물이다,같은 생물이다,균류의 한 종류이다,식물의 한 종류이다,20,1
27,"공 모양, 막대 모양, 나선 모양 등 다양한 생김새를 가진 것은 무엇의 특징인가요?",세균,균류,원생생물,곤충,20,1
28,세균의 생김새 중 꼬불꼬불한 모양은 무엇 모양이라고 하나요?,나선 모양,공 모양,막대 모양,네모 모양,20,1
29,세균은 균류나 원생생물보다 크기가 어떠한가요?,작고 생김새가 단순하다,크고 생김새가 복잡하다,크기가 비슷하다,눈으로 쉽게 볼 수 있다,25,1
30,세균은 살기 적당한 조건이 되면 어떻게 번식하나요?,빠르게 많은 수로 번식한다,천천히 조금씩 번식한다,번식하지 않는다,한 번만 번식한다,20,1
31,세균이 사는 곳으로 알맞지 않은 것은?,진공 상태의 우주 공간,땅,물,생물의 몸속,25,1
32,균류와 세균이 죽은 생물을 분해하는 것은 다양한 생물이 우리 생활에 미치는 어떤 영향인가요?,이로운 영향,해로운 영향,영향이 없다,알 수 없다,20,1
33,원생생물은 다른 생물의 먹이가 되거나 무엇을 만드나요?,산소,이산화탄소,질소,영양분만,20,1
34,균류와 세균을 이용해 만드는 음식이 아닌 것은?,설탕,김치,된장,요구르트,25,1
35,균류와 세균이 음식이나 물건에 미치는 해로운 영향은 무엇인가요?,음식이나 물건을 상하게 한다,음식을 더 맛있게 한다,물건을 튼튼하게 한다,아무 영향이 없다,20,1
36,독버섯을 먹으면 어떻게 될 수 있나요?,질병에 걸릴 수 있다,더 건강해진다,아무 변화가 없다,잠이 잘 온다,20,1
37,일부 원생생물의 수가 많아지면 발생할 수 있는 현상은 무엇인가요?,적조 현상,홍수 현상,가뭄 현상,눈사태 현상,25,1
38,"생명 과학이 우리 생활에 이용되는 예로, 오염 물질을 분해하는 생물은 무엇인가요?",세균,균류,원생생물,곤충,25,1
39,생명 과학이 우리 생활에 이용되는 예로 알맞지 않은 것은?,소리를 증폭시키는 원생생물,곤충을 죽게 하는 균류,기름 성분이 있는 원생생물,건강에 좋은 성분이 있는 원생생물,30,1
40,"세균, 균류, 원생생물처럼 다양한 생물이 우리 생활에 미치는 영향은 어떠한가요?",이로운 영향과 해로운 영향을 모두 준다,이로운 영향만 준다,해로운 영향만 준다,아무 영향도 주지 않는다,20,1
